Sabaton;Falun Sweden;Power metal;The War to End All Wars;Joakim Brodén
Mors Principium Est;Pori Finland;Melodic death metal;Liberate the Unborn Inhumanity;Ville Viljanen
Disturbed;Chicago Illinois;Heavy metal;Divisive;David Draiman
